gender,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,Discussion,StudentAbsenceDays,Class,GradeCategory
0,0,1,0,0,0,0,15,16,20,0,0,0
0,0,1,0,0,0,0,20,20,25,0,0,0
0,0,1,0,0,0,0,10,7,30,1,1,0
0,0,1,0,0,0,0,30,25,35,1,1,0
0,0,1,0,0,0,0,40,50,50,1,0,0
1,0,1,0,0,0,0,42,30,70,1,0,0
0,1,4,0,1,0,0,35,12,17,1,1,1
0,1,4,0,1,0,0,50,10,22,0,0,1
1,1,4,0,1,0,0,12,21,50,0,0,1
1,1,4,1,0,0,0,70,80,70,0,0,1
0,1,4,0,1,0,0,50,88,80,0,2,1
0,1,4,1,1,0,0,19,6,12,0,0,1
0,0,1,0,0,0,0,5,1,11,1,1,0
0,1,5,0,1,0,0,20,14,19,1,1,1
1,1,5,0,1,0,1,62,70,60,1,2,1
1,1,3,0,0,0,0,30,40,66,0,0,0
0,1,4,1,0,0,0,36,30,80,1,0,1
0,1,4,0,1,0,0,55,13,90,1,0,1
1,1,4,0,0,0,1,69,15,96,0,0,1
0,1,4,1,0,0,1,70,50,99,0,2,1
1,1,4,0,0,0,0,60,60,90,1,0,1
1,1,4,1,0,0,0,10,12,80,0,0,1
0,1,4,0,0,0,0,15,21,90,0,0,1
0,1,4,0,0,0,0,2,0,50,1,1,1
0,1,4,1,0,0,0,0,2,70,1,1,1
0,1,4,0,0,0,0,8,7,40,1,1,1
0,1,4,1,0,0,0,19,19,40,0,0,1
0,1,5,0,2,0,0,25,15,33,1,1,1
0,1,5,0,3,0,0,75,85,43,0,0,1
1,1,5,0,2,0,0,30,90,35,0,0,1
1,1,5,0,2,0,0,35,80,70,0,2,1
0,1,4,0,0,0,0,4,5,16,1,1,1
1,0,4,0,0,0,0,2,19,50,1,1,1
0,0,2,0,4,0,0,8,22,40,1,1,0
0,1,4,1,3,0,0,12,11,40,1,1,1
0,1,4,0,4,0,0,10,12,30,1,1,1
0,1,4,1,3,0,1,8,6,22,1,1,1
1,1,4,0,0,0,0,45,54,90,0,0,1
0,1,3,0,0,0,0,0,0,4,1,1,0
1,1,4,1,3,0,0,50,90,70,0,0,1
1,1,4,0,0,0,0,14,13,70,1,1,1
0,1,4,0,0,0,0,19,20,50,0,0,1
0,2,6,0,0,0,0,10,12,33,1,1,1
1,2,6,0,0,0,0,30,35,90,0,0,1
1,2,6,0,0,0,0,33,33,90,0,0,1
0,1,4,0,5,0,0,20,12,70,1,1,1
0,0,2,0,4,0,0,7,10,30,1,1,0
1,2,9,0,4,0,1,70,4,90,0,2,1
1,2,9,0,4,0,1,13,80,88,0,2,1
1,2,9,0,4,0,0,29,39,77,0,0,1
1,2,9,0,4,0,0,20,14,70,1,1,1
0,2,9,0,4,0,0,39,15,50,1,1,1
1,2,9,0,4,0,0,55,90,40,0,0,1
1,2,8,0,3,0,1,49,70,75,0,2,1
0,2,9,0,4,0,1,12,50,30,1,1,1
0,1,4,0,1,0,0,16,14,20,1,1,1
0,1,5,1,1,0,0,19,5,1,1,1,1
0,1,4,0,1,0,0,5,2,5,1,1,1
0,1,4,0,1,0,0,28,60,50,0,0,1
1,1,4,0,1,0,0,27,22,40,0,0,1
1,0,2,0,4,0,1,21,10,20,1,1,0
0,2,7,0,0,0,0,50,70,40,0,0,1
0,2,7,0,0,0,1,80,90,80,0,2,1
0,2,7,0,0,0,0,17,13,12,0,0,1
0,2,7,0,0,0,0,0,5,2,1,1,1
0,2,9,0,4,0,0,13,5,19,1,1,1
1,2,9,0,4,0,0,25,10,30,1,0,1
1,2,9,0,4,0,1,65,75,80,0,2,1
1,2,9,0,0,0,1,70,69,30,0,2,1
0,1,4,0,0,0,0,39,40,33,0,0,1
0,1,4,0,0,0,0,22,30,12,1,1,1
0,1,4,0,0,0,0,29,22,20,0,0,1
0,1,4,0,1,0,0,11,2,8,0,1,1
1,1,4,0,4,0,0,19,30,19,1,0,1
0,1,4,1,0,0,0,12,0,13,0,1,1
0,1,4,0,5,0,1,50,90,60,0,0,1
0,2,6,0,0,0,1,15,70,44,0,0,1
0,2,6,0,0,0,0,20,80,33,0,0,1
0,2,8,0,5,0,0,13,3,9,1,1,1
1,1,4,1,1,0,1,80,90,55,0,2,1
0,1,4,0,1,0,0,8,15,40,0,1,1
0,0,0,0,0,0,0,8,25,70,1,1,0
0,0,0,1,0,0,0,7,5,80,1,1,0
0,0,0,1,0,0,0,7,4,50,1,0,0
0,0,0,1,0,0,0,50,70,10,1,2,0
0,0,0,1,0,0,0,1,0,12,1,1,0
0,0,0,1,0,0,0,70,12,50,0,2,0
0,0,0,1,0,0,0,19,70,50,0,1,0
1,0,0,1,0,0,0,3,12,33,0,1,0
0,0,0,1,0,0,0,5,20,50,1,1,0
0,0,0,1,0,0,0,4,8,60,1,1,0
0,0,0,1,0,0,0,80,90,19,0,2,0
1,0,0,1,0,0,0,50,70,15,0,2,0
0,0,0,1,0,0,0,55,89,40,0,2,0
1,0,0,1,0,0,0,80,44,10,1,1,0
1,0,0,1,0,0,0,100,80,70,0,2,0
1,0,0,2,0,0,0,14,60,75,0,2,0
1,0,0,1,0,0,0,6,2,12,0,0,0
1,0,0,2,0,0,0,10,3,30,0,0,0
0,0,0,1,0,0,0,50,7,50,1,0,0
0,0,0,1,0,0,0,50,90,90,0,0,0
1,0,0,1,0,0,1,70,92,7,0,2,0
1,0,0,1,0,0,0,2,6,8,1,1,0
0,0,0,1,0,0,0,1,7,10,1,1,0
0,0,0,1,0,0,0,0,12,3,1,0,0
1,0,0,1,0,0,0,0,0,80,1,1,0
1,0,0,1,0,0,0,12,26,40,0,0,0
0,0,0,1,0,0,0,70,90,33,0,2,0
0,0,0,1,0,0,0,7,12,3,1,0,0
0,0,0,1,0,0,0,90,70,14,0,0,0
1,0,0,1,0,0,1,70,88,40,0,2,0
0,0,0,2,0,0,0,77,80,80,0,0,0
0,0,0,1,0,0,0,2,5,50,1,1,0
0,0,0,1,0,0,0,25,27,69,1,1,0
0,0,0,1,0,0,0,11,2,50,1,1,0
0,0,0,1,0,0,0,0,8,70,1,1,0
1,0,0,2,0,0,1,77,80,19,1,0,0
1,0,0,2,0,0,1,25,29,17,0,2,0
1,0,0,2,0,0,1,24,35,22,1,0,0
0,0,0,2,0,0,0,60,60,60,0,0,0
0,0,0,2,0,0,1,21,12,50,0,0,0
0,0,0,2,0,0,1,0,4,30,1,1,0
1,0,0,1,0,0,0,66,90,12,1,0,0
1,0,0,1,0,0,0,70,98,5,0,0,0
0,0,0,2,0,0,0,0,6,15,0,1,0
0,0,0,1,0,0,0,12,30,17,1,1,0
1,0,0,2,0,0,0,2,9,55,0,0,0
0,0,0,1,0,0,0,55,33,9,1,1,0
0,0,0,2,0,0,0,12,10,16,0,1,0
0,0,0,1,0,0,0,70,90,2,0,1,0
1,0,0,2,0,0,0,7,9,30,1,1,0
0,0,0,2,0,0,0,80,42,50,0,0,0
0,0,0,2,0,1,0,0,3,3,1,1,0
0,0,0,0,0,1,0,12,60,70,1,1,0
0,1,4,0,5,1,0,80,80,70,0,2,1
1,1,4,0,5,1,1,70,80,70,0,2,1
1,2,8,0,5,1,1,70,80,70,0,2,1
1,2,8,0,5,0,1,60,80,40,0,0,1
1,1,4,0,5,0,1,100,80,90,0,2,1
0,1,4,0,5,0,1,100,85,70,0,0,1
0,1,4,0,5,0,0,10,60,20,1,1,1
0,1,4,0,5,1,0,19,65,10,1,1,1
0,1,4,0,5,1,0,10,75,11,0,0,1
0,1,4,0,5,1,0,80,90,19,0,2,1
0,1,4,0,5,1,0,10,10,19,1,1,1
0,1,4,0,5,1,0,70,75,11,0,0,1
1,1,4,0,5,1,1,100,75,70,0,2,1
1,1,4,0,5,1,0,10,79,30,0,0,1
1,1,4,0,5,1,0,60,55,40,0,0,1
1,1,4,0,5,1,1,100,75,70,0,2,1
0,2,8,0,5,1,0,80,80,59,0,2,1
0,2,8,0,3,1,0,23,63,89,0,0,1
1,2,8,1,3,1,0,100,91,40,0,2,1
0,2,8,1,6,1,0,10,51,40,1,1,1
0,2,8,1,4,1,0,70,50,41,1,0,1
0,2,8,1,1,1,0,70,58,91,0,2,1
1,2,8,1,7,1,0,70,50,49,0,0,1
0,2,8,1,3,1,0,70,50,40,0,0,1
0,1,4,1,3,1,0,22,51,10,1,1,1
1,1,4,1,3,1,0,62,68,80,0,0,1
1,1,4,1,3,1,1,82,89,50,0,2,1
0,1,4,1,3,1,1,72,80,66,0,0,1
1,0,0,1,7,1,1,70,82,73,0,2,0
1,0,0,1,7,1,1,60,82,43,1,0,0
0,0,0,1,7,1,1,55,72,14,1,0,0
1,0,0,1,7,1,1,72,65,66,0,2,0
0,0,0,1,7,1,1,51,82,43,0,0,0
0,0,0,1,7,1,1,80,92,43,0,2,0
0,0,0,1,7,1,1,60,52,33,0,2,0
0,0,0,1,7,1,1,30,12,23,0,0,0
0,0,0,1,7,1,0,40,62,33,0,2,0
0,0,0,1,7,1,1,60,52,33,0,0,0
0,0,0,1,7,1,1,20,22,13,1,1,0
0,0,0,1,7,1,1,20,52,33,1,1,0
1,0,0,1,7,1,0,50,62,43,1,0,0
0,0,0,1,7,1,0,10,2,53,1,1,0
0,0,0,1,7,1,1,60,52,33,0,2,0
1,0,0,1,7,1,1,15,52,11,0,0,0
1,0,0,1,7,1,1,80,42,13,0,2,0
0,0,0,1,7,1,1,40,51,33,0,0,0
1,0,0,1,7,1,0,60,70,93,0,2,0
0,0,0,1,7,1,0,50,62,33,1,1,0
0,1,5,0,2,1,1,85,75,53,0,2,1
1,1,5,0,2,1,0,25,15,53,0,0,1
0,1,5,0,2,1,1,10,35,13,1,1,1
0,1,5,0,2,1,1,87,65,33,0,2,1
0,1,5,0,2,1,1,85,15,53,0,0,1
1,1,5,0,2,1,0,80,71,51,0,0,1
0,1,5,0,2,1,1,75,71,53,0,2,1
1,1,5,0,2,1,0,85,66,23,0,0,1
0,1,5,0,2,1,0,23,25,53,0,1,1
0,1,5,0,2,1,0,15,25,13,1,1,1
0,1,5,0,2,1,1,95,91,53,0,0,1
0,1,5,0,2,1,1,81,75,53,0,0,1
0,1,5,0,2,1,1,53,75,23,0,0,1
0,1,5,0,2,1,0,15,43,33,0,0,1
0,1,5,0,2,1,1,92,65,53,0,2,1
0,1,5,0,2,1,1,83,75,53,0,2,1
0,1,5,1,2,1,0,27,15,53,1,1,1
0,1,5,1,2,1,0,45,95,13,0,0,1
0,1,5,1,2,1,1,15,90,83,0,2,1
1,1,5,0,2,1,1,45,58,43,0,2,1
0,1,5,1,2,1,0,25,5,33,0,0,1
1,1,5,1,2,1,0,22,51,40,0,0,1
0,1,5,1,2,1,0,29,10,24,1,1,1
1,1,5,1,2,1,1,72,51,24,1,2,1
0,1,5,1,2,1,0,67,31,14,0,0,1
0,1,5,2,6,1,0,17,21,14,0,0,1
0,1,5,2,6,1,1,27,41,14,0,0,1
0,1,5,2,6,1,0,70,81,84,0,0,1
0,1,5,2,6,1,1,27,90,14,0,2,1
0,1,5,2,6,1,0,17,61,14,0,0,1
0,1,5,2,6,1,1,87,81,19,0,2,1
0,1,5,2,6,1,0,7,61,14,1,1,1
0,1,5,2,6,1,0,17,50,4,1,1,1
0,1,5,2,6,1,0,5,21,14,1,1,1
0,1,5,2,6,1,1,27,41,61,1,0,1
1,1,5,2,6,1,0,87,88,10,0,0,1
0,1,5,2,6,1,1,96,61,94,0,2,1
0,1,5,2,6,1,1,57,51,34,0,0,1
0,1,5,2,6,1,0,77,69,13,0,0,1
0,1,5,2,6,1,0,80,51,24,0,0,1
0,1,5,1,6,1,0,62,61,40,0,0,1
0,1,5,0,6,1,1,72,83,90,0,2,1
0,1,5,1,6,1,1,87,81,70,0,2,1
0,1,5,0,6,1,1,72,90,30,0,0,1
0,1,5,1,6,1,0,2,11,30,0,1,1
0,1,5,0,6,1,0,5,3,10,0,1,1
0,2,8,1,1,1,1,73,84,81,1,2,1
0,1,5,0,6,1,0,5,17,10,1,1,1
0,1,5,0,6,1,1,51,42,29,1,0,1
0,1,5,0,6,1,0,9,7,20,1,1,1
0,1,4,0,5,0,0,19,72,50,1,0,1
1,1,4,1,3,1,1,32,80,46,1,0,1
0,1,4,1,3,1,1,32,60,66,1,0,1
0,1,4,1,3,1,0,12,8,26,1,1,1
0,1,4,1,3,1,0,52,10,6,1,1,1
0,1,4,1,3,1,0,72,80,66,1,0,1
1,1,4,1,3,1,1,72,80,66,1,0,1
0,1,4,1,3,1,1,92,80,76,0,2,1
0,1,4,1,3,1,1,72,80,96,0,2,1
0,1,4,1,3,1,0,72,80,86,0,0,1
0,1,4,1,3,1,0,22,20,6,1,1,1
0,1,4,1,3,1,0,12,20,46,1,0,1
0,1,4,1,0,1,1,70,92,85,0,2,1
1,1,3,0,0,1,0,50,40,66,0,0,0
1,1,3,0,3,1,0,80,94,77,0,2,0
1,1,3,0,1,1,0,87,48,96,1,0,0
1,1,3,0,5,1,0,70,40,16,1,1,0
0,0,1,0,0,1,0,65,86,40,1,0,0
0,0,1,0,1,1,0,15,6,40,0,2,0
0,0,1,0,4,1,1,19,74,17,1,1,0
1,0,1,0,3,1,0,69,76,94,0,0,0
0,0,1,0,2,1,0,39,26,44,1,1,0
0,0,1,0,4,1,0,59,97,70,0,2,0
0,0,1,0,8,1,0,10,17,40,0,2,0
1,0,1,0,8,1,1,80,87,60,0,2,0
1,0,1,0,8,1,0,70,99,65,0,0,0
1,0,1,0,8,1,0,80,97,95,0,0,0
0,0,1,0,4,1,1,69,34,17,1,1,0
0,0,1,0,8,1,0,10,17,14,1,1,0
0,0,1,0,8,1,0,61,97,64,1,0,0
1,0,1,0,8,1,1,21,27,34,1,0,0
0,0,1,0,1,1,1,49,94,7,1,0,0
1,1,3,0,4,0,1,70,64,32,0,0,0
1,1,3,0,4,1,1,79,84,37,0,2,0
0,1,3,0,4,0,0,19,80,17,1,0,0
0,1,3,0,4,1,0,11,70,29,1,0,0
0,1,3,0,4,0,0,10,8,10,1,0,0
0,1,3,0,4,1,0,18,28,20,1,0,0
1,1,3,0,4,0,1,90,84,30,0,2,0
1,1,3,0,4,1,1,92,81,36,0,0,0
0,1,3,0,4,0,0,42,21,16,0,0,0
0,1,3,0,4,1,0,22,20,26,0,2,0
1,1,3,0,4,0,1,95,82,70,0,2,0
1,1,3,0,4,1,1,90,62,60,0,2,0
0,1,3,0,4,0,1,72,21,26,0,2,0
0,1,3,0,4,1,1,92,31,27,0,2,0
0,1,3,0,4,0,1,82,31,25,0,0,0
0,1,3,0,4,1,1,72,41,27,0,0,0
0,1,3,0,4,0,1,74,71,37,0,2,0
0,1,3,0,4,1,1,74,60,37,0,2,0
1,1,3,0,4,0,1,95,94,80,0,2,0
1,1,3,0,4,1,1,97,87,86,0,2,0
0,1,3,0,4,0,0,40,38,36,1,0,0
0,1,3,0,4,1,0,41,39,39,1,0,0
1,1,3,0,4,0,1,51,79,89,0,2,0
1,1,3,0,4,1,1,81,79,85,0,2,0
0,1,3,0,4,0,1,71,70,69,0,0,0
0,1,3,0,4,1,1,75,71,80,0,0,0
1,0,1,0,3,0,0,49,36,44,1,1,0
1,0,1,0,3,1,0,42,24,24,1,1,0
1,0,1,0,3,0,1,90,86,74,0,2,0
1,0,1,0,3,1,1,62,64,84,0,2,0
0,0,1,0,3,0,0,90,86,74,1,0,0
0,0,1,0,3,1,0,62,64,84,1,0,0
1,0,1,0,3,0,1,98,87,84,0,2,0
1,0,1,0,3,1,1,72,74,89,0,2,0
0,0,1,0,3,0,0,18,17,34,1,0,0
0,0,1,0,3,1,0,32,14,29,1,0,0
0,0,1,0,3,0,0,10,12,13,1,1,0
0,0,1,0,3,1,0,22,34,9,1,1,0
1,0,1,1,3,0,1,11,20,23,0,0,0
1,0,1,1,3,1,1,12,44,39,0,0,0
1,0,1,1,3,0,0,15,50,43,0,0,0
1,0,1,1,3,1,0,32,44,89,0,0,0
0,0,1,1,3,0,1,65,59,83,0,2,0
0,0,1,1,3,1,1,72,64,89,0,2,0
0,0,1,1,3,0,1,95,57,89,1,0,0
0,0,1,1,3,1,1,82,84,79,1,0,0
0,0,1,1,3,0,0,25,29,33,1,0,0
0,0,1,1,3,1,0,42,34,39,1,0,0
1,0,1,1,3,0,1,55,79,43,0,2,0
1,0,1,1,3,1,1,62,64,49,0,2,0
1,0,1,1,3,0,1,78,88,83,0,2,0
1,0,1,1,3,1,1,72,84,89,0,2,0
0,0,0,0,7,0,1,60,92,23,0,2,0
0,0,0,0,7,1,1,50,90,13,0,2,0
1,0,0,0,7,0,1,60,97,3,0,2,0
1,0,0,0,7,1,1,50,95,10,0,2,0
1,0,0,0,7,0,1,60,87,11,1,0,0
1,0,0,0,7,1,1,50,80,15,1,0,0
0,0,0,0,7,0,0,10,15,21,1,1,0
0,0,0,0,7,1,0,30,10,5,1,1,0
0,0,0,0,7,0,0,24,35,31,0,0,0
0,0,0,0,7,1,0,27,20,35,0,0,0
1,0,0,0,7,0,1,80,77,83,0,0,0
1,0,0,0,7,1,1,75,85,80,0,0,0
0,0,0,0,7,0,0,40,7,41,1,1,0
0,0,0,0,7,1,0,35,2,33,1,1,0
1,0,0,0,7,0,1,10,90,21,0,0,0
1,0,0,0,7,1,1,25,80,23,0,0,0
0,0,0,0,7,0,1,10,8,3,1,1,0
0,0,0,0,7,1,1,15,7,7,1,1,0
1,0,0,0,7,0,1,70,90,21,0,0,0
1,0,0,0,7,1,1,75,80,20,0,0,0
1,0,0,1,7,0,0,78,98,11,0,0,0
1,0,0,1,7,1,0,79,89,14,0,0,0
1,0,0,1,7,0,0,16,90,11,0,0,0
1,0,0,1,7,1,0,17,80,10,0,0,0
0,0,0,1,7,0,1,40,87,41,0,0,0
0,0,0,1,7,1,1,35,92,33,0,0,0
1,0,0,1,7,0,1,14,97,14,0,2,0
1,0,0,1,7,0,1,13,82,30,0,2,0
1,0,0,1,7,1,1,24,97,14,0,2,0
1,0,0,1,7,1,1,23,82,30,0,2,0
0,0,0,1,7,0,1,20,3,3,1,1,0
0,0,0,1,7,1,1,15,4,7,1,1,0
0,0,0,1,7,0,1,5,13,6,1,1,0
0,0,0,1,7,1,1,7,9,10,1,1,0
1,0,0,1,7,0,1,10,94,11,0,0,0
1,0,0,1,7,1,1,25,89,13,0,0,0
0,0,0,1,7,0,1,30,98,21,0,2,0
0,0,0,1,7,1,1,35,97,23,0,2,0
0,0,0,1,7,0,0,32,88,25,0,0,0
0,0,0,1,7,1,0,25,87,27,0,0,0
1,0,0,1,7,0,1,72,98,15,0,2,0
1,0,0,1,7,1,1,75,90,17,0,2,0
0,0,0,0,2,0,0,20,88,28,1,0,0
0,0,0,0,2,1,0,10,98,38,1,0,0
0,0,0,0,2,0,0,90,98,38,0,2,0
0,0,0,0,2,1,0,80,88,39,0,2,0
0,0,0,0,2,0,0,80,95,28,0,2,0
0,0,0,0,2,1,0,78,70,29,0,2,0
0,0,0,0,2,0,0,10,18,38,1,0,0
0,0,0,0,2,1,0,10,58,48,1,0,0
1,0,0,0,2,0,1,98,88,31,0,2,0
1,0,0,0,2,1,1,75,81,34,0,2,0
0,0,0,0,2,0,0,10,17,21,0,0,0
0,0,0,0,2,1,0,35,2,23,0,0,0
1,0,0,0,2,0,0,10,20,97,1,1,0
1,0,0,0,2,1,0,5,9,98,1,1,0
0,0,0,1,2,0,0,10,10,51,1,1,0
0,0,0,1,2,1,0,35,2,23,1,1,0
0,0,0,1,2,0,1,20,90,61,1,0,0
0,0,0,1,2,1,1,32,82,63,1,0,0
0,0,0,1,2,0,0,10,30,91,1,1,0
0,0,0,1,2,1,0,12,22,83,1,1,0
1,0,0,1,2,0,0,11,20,98,1,1,0
1,0,0,1,2,1,0,10,12,93,1,1,0
0,0,0,1,2,0,1,69,82,28,0,2,0
0,0,0,1,2,1,1,70,83,33,0,2,0
1,0,0,1,2,0,1,89,92,28,0,2,0
1,0,0,1,2,1,1,79,93,23,0,2,0
0,0,0,1,2,0,1,15,90,97,0,0,0
0,0,0,1,2,1,1,20,77,88,0,0,0
0,0,0,1,2,0,1,4,10,7,1,1,0
0,0,0,1,2,1,1,5,0,8,1,1,0
1,1,4,0,9,0,1,88,81,10,1,0,1
1,1,4,0,9,1,1,90,88,12,1,0,1
1,1,4,0,9,0,1,86,98,20,0,2,1
1,1,4,0,9,1,1,90,90,22,0,2,1
0,1,4,0,9,0,1,78,91,40,0,2,1
0,1,4,0,9,1,1,70,98,72,0,2,1
0,1,4,0,9,0,0,80,80,61,0,0,1
0,1,4,0,9,1,0,85,82,63,0,0,1
0,1,4,0,9,0,0,88,90,81,0,2,1
0,1,4,0,9,1,0,89,92,83,0,2,1
0,1,4,0,9,0,0,39,71,26,1,0,1
0,1,4,0,9,1,0,35,80,22,1,0,1
0,1,4,0,9,0,0,76,81,86,0,2,1
0,1,4,0,9,1,0,65,89,82,0,2,1
1,1,4,0,9,0,1,96,95,70,0,2,1
1,1,4,0,9,1,1,80,91,72,0,2,1
0,1,4,0,9,0,1,2,9,1,1,1,1
0,1,4,0,9,1,1,3,8,3,1,1,1
0,1,4,1,9,0,0,50,79,31,0,0,1
0,1,4,1,9,1,0,53,88,33,0,0,1
1,1,4,1,9,0,1,70,89,21,0,2,1
1,1,4,1,9,1,1,59,90,43,0,2,1
0,1,4,1,9,0,0,78,80,51,0,0,1
0,1,4,1,9,1,0,79,72,83,0,0,1
1,1,4,1,9,0,1,10,9,1,1,1,1
1,1,4,1,9,1,1,9,7,3,1,1,1
0,1,4,1,9,0,0,98,90,71,0,2,1
0,1,4,1,9,1,0,89,92,83,0,2,1
0,1,4,1,9,0,0,88,90,81,0,2,1
0,1,4,1,9,1,0,99,96,84,0,2,1
1,1,5,0,10,0,1,82,89,31,0,2,1
1,1,5,0,10,1,1,84,92,43,0,2,1
1,1,5,0,11,0,1,70,69,45,1,0,1
1,1,5,0,11,1,1,74,62,43,1,0,1
1,1,5,0,11,0,1,90,79,79,0,2,1
1,1,5,0,11,1,1,84,77,68,0,2,1
0,1,5,0,10,0,1,80,80,11,1,0,1
0,1,5,0,10,1,1,81,82,13,1,0,1
0,1,5,0,10,0,0,10,0,41,1,1,1
0,1,5,0,10,1,0,11,2,49,1,1,1
0,1,5,0,11,0,0,85,89,61,0,2,1
0,1,5,0,11,1,0,80,89,68,0,2,1
0,1,5,0,11,0,0,95,87,81,0,0,1
0,1,5,0,11,1,0,87,79,98,0,0,1
0,1,5,0,10,0,1,85,87,10,1,0,1
0,1,5,0,10,1,1,79,88,20,1,0,1
0,1,5,0,11,0,1,80,81,30,0,0,1
0,1,5,0,11,1,1,70,83,23,0,0,1
0,1,5,0,10,0,1,80,82,19,0,0,1
0,1,5,0,10,1,1,70,82,29,0,0,1
0,1,5,0,11,0,1,89,87,15,0,0,1
0,1,5,0,11,1,1,90,86,10,0,0,1
0,1,5,0,8,0,1,69,77,75,1,0,1
0,1,5,0,8,1,1,70,76,70,1,0,1
0,1,5,0,10,0,1,75,72,39,1,1,1
0,1,5,0,10,1,1,72,76,40,1,1,1
0,1,5,0,11,0,1,77,82,79,0,0,1
0,1,5,0,11,1,1,71,84,80,0,0,1
0,1,5,0,8,0,1,87,92,89,0,2,1
0,1,5,0,8,1,1,81,84,85,0,2,1
1,1,5,0,10,0,0,15,97,10,0,2,1
1,1,5,0,10,1,0,19,98,2,0,2,1
1,1,5,0,11,0,0,25,82,20,1,0,1
1,1,5,0,11,1,0,29,78,12,1,0,1
1,1,5,0,8,0,0,45,87,80,0,0,1
1,1,5,0,8,1,0,39,88,72,0,0,1
1,1,5,0,10,0,0,85,90,30,0,2,1
1,1,5,0,10,1,0,79,91,22,0,2,1
0,1,5,0,10,0,0,90,91,81,0,2,1
0,1,5,0,10,1,0,80,90,83,0,2,1
0,1,5,0,11,0,0,80,83,71,1,0,1
0,1,5,0,11,1,0,71,81,72,1,0,1
0,1,5,0,8,0,0,72,87,89,1,0,1
0,1,5,0,8,1,0,69,77,92,1,0,1
1,1,5,0,10,0,1,85,99,90,0,2,1
1,1,5,0,10,1,1,89,96,92,0,2,1
1,1,5,0,11,0,1,80,82,58,0,2,1
1,1,5,0,11,1,1,87,93,60,0,2,1
1,1,5,0,10,0,0,15,9,80,1,1,1
1,1,5,0,10,1,0,9,6,85,1,1,1
0,1,5,0,8,0,0,81,86,41,0,0,1
0,1,5,0,8,1,0,78,82,53,0,0,1
0,1,5,0,11,0,0,80,87,68,0,0,1
0,1,5,0,11,1,0,85,88,70,0,0,1
1,1,5,0,10,0,0,2,7,8,1,1,1
1,1,5,0,10,1,0,5,4,8,1,1,1
1,1,5,0,11,0,0,50,77,28,0,0,1
1,1,5,0,11,1,0,55,74,29,0,0,1
1,1,5,0,8,0,0,30,17,57,1,1,1
1,1,5,0,8,1,0,35,14,62,1,1,1
